State,Year,Quater,app_open_count,user_count,District
punjab,2021,2,1146382,67197,shahid bhagat singh nagar district
punjab,2021,2,5712760,265874,fazilka district
punjab,2021,2,1547066,85341,barnala district
punjab,2021,2,1913079,115045,mansa district
punjab,2021,2,12949093,1204126,ludhiana district
punjab,2021,2,2862666,135088,sri muktsar sahib district
punjab,2021,2,5873453,452152,patiala district
punjab,2021,2,2445879,158252,pathankot district
punjab,2021,2,1639400,120891,fatehgarh sahib district
punjab,2021,2,1976729,134686,rupnagar district
punjab,2021,2,3161261,118896,tarn taran district
punjab,2021,2,8804039,675022,sas nagar district
punjab,2021,2,4108982,261746,sangrur district
punjab,2021,2,5335908,459789,jalandhar district
punjab,2021,2,5153282,309805,bathinda district
punjab,2021,2,2172524,131323,kapurthala district
punjab,2021,2,2779851,145688,firozepur district
punjab,2021,2,3100780,201976,gurdaspur district
punjab,2021,2,6079531,489463,amritsar district
punjab,2021,2,1731270,100793,faridkot district
punjab,2021,2,3318856,223227,hoshiarpur district
punjab,2021,2,2081298,120168,moga district
punjab,2021,4,1245533,77630,shahid bhagat singh nagar district
punjab,2021,4,7439770,307291,fazilka district
punjab,2021,4,1705235,98846,barnala district
punjab,2021,4,2052073,133151,mansa district
punjab,2021,4,26907720,1388951,ludhiana district
punjab,2021,4,2922366,156399,sri muktsar sahib district
punjab,2021,4,10326956,519356,patiala district
punjab,2021,4,4601679,182017,pathankot district
punjab,2021,4,2829379,139335,fatehgarh sahib district
punjab,2021,4,3004362,155284,rupnagar district
punjab,2021,4,3326397,137220,tarn taran district
punjab,2021,4,19091864,772068,sas nagar district
punjab,2021,4,5163673,302394,sangrur district
punjab,2021,4,9280475,528440,jalandhar district
punjab,2021,4,7533553,356940,bathinda district
punjab,2021,4,3111765,151071,kapurthala district
punjab,2021,4,3548209,167665,firozepur district
punjab,2021,4,4410334,232798,gurdaspur district
punjab,2021,4,10809523,560687,amritsar district
punjab,2021,4,2213987,116313,faridkot district
punjab,2021,4,4437049,257735,hoshiarpur district
punjab,2021,4,2465597,138512,moga district
punjab,2021,3,1369873,72568,shahid bhagat singh nagar district
punjab,2021,3,7085113,287001,fazilka district
punjab,2021,3,1793599,92267,barnala district
punjab,2021,3,2350812,124152,mansa district
punjab,2021,3,16721648,1296796,ludhiana district
punjab,2021,3,3352297,145923,sri muktsar sahib district
punjab,2021,3,7279309,486329,patiala district
punjab,2021,3,2970204,170194,pathankot district
punjab,2021,3,2109806,130248,fatehgarh sahib district
punjab,2021,3,2375863,145176,rupnagar district
punjab,2021,3,4014967,128419,tarn taran district
punjab,2021,3,10981780,723884,sas nagar district
punjab,2021,3,4825055,282372,sangrur district
punjab,2021,3,6722302,494582,jalandhar district
punjab,2021,3,6724159,333661,bathinda district
punjab,2021,3,2653351,141349,kapurthala district
punjab,2021,3,3678385,156926,firozepur district
punjab,2021,3,3684155,217927,gurdaspur district
punjab,2021,3,8024927,525756,amritsar district
punjab,2021,3,2217480,108719,faridkot district
punjab,2021,3,4082059,240996,hoshiarpur district
punjab,2021,3,2597011,129617,moga district
punjab,2021,1,690052,62459,shahid bhagat singh nagar district
punjab,2021,1,4019103,247363,fazilka district
punjab,2021,1,902867,79294,barnala district
punjab,2021,1,1098110,106756,mansa district
punjab,2021,1,16627730,1121835,ludhiana district
