State,Year,Quater,Transaction_amount,Transaction_count,Top_Dist_Name
punjab,2021,2,23530471085.652363,11475061,ludhiana
punjab,2021,2,7288830376.63194,4707042,sas nagar
punjab,2021,2,5279064151.566084,2166296,amritsar
punjab,2021,2,4316968650.261899,1968477,jalandhar
punjab,2021,2,4409169677.402311,1870993,patiala
punjab,2021,2,3102199906.6400814,1271905,bathinda
punjab,2021,2,2840373948.4850025,1140866,fazilka
punjab,2021,2,2194371528.5795517,852138,sangrur
punjab,2021,2,1772534610.4927375,731752,pathankot
punjab,2021,2,1657693325.435227,721249,hoshiarpur
punjab,2021,4,39292772660.87953,19553778,ludhiana
punjab,2021,4,11088791931.951628,7503637,sas nagar
punjab,2021,4,8606940269.65073,3576353,amritsar
punjab,2021,4,7030833843.587089,3218973,jalandhar
punjab,2021,4,6755184061.574616,2901070,patiala
punjab,2021,4,4674339276.828988,2056317,bathinda
punjab,2021,4,4131028405.4906483,1650972,fazilka
punjab,2021,4,3205553098.0632925,1205039,sangrur
punjab,2021,4,2875653268.713999,1200445,pathankot
punjab,2021,4,2110713842.5000901,1175355,kapurthala
punjab,2021,3,30807741534.262596,16104345,ludhiana
punjab,2021,3,8963728598.89373,6040235,sas nagar
punjab,2021,3,6530832877.10007,2859630,amritsar
punjab,2021,3,5579482421.017922,2663707,jalandhar
punjab,2021,3,5270148761.145614,2400121,patiala
punjab,2021,3,3788551283.176148,1647401,bathinda
punjab,2021,3,3111874915.8745384,1378018,fazilka
punjab,2021,3,2422730555.689826,1015897,sangrur
punjab,2021,3,2224480978.5714393,936270,pathankot
punjab,2021,3,1983363435.8296313,907847,hoshiarpur
punjab,2021,1,19225271865.79327,8956495,ludhiana
punjab,2021,1,6737530092.4958515,4469959,sas nagar
punjab,2021,1,4535248139.891067,1823100,amritsar
punjab,2021,1,3828908006.2314005,1716126,jalandhar
punjab,2021,1,3743416293.2960615,1594101,patiala
punjab,2021,1,2681512020.113289,1089719,bathinda
punjab,2021,1,2485697202.7721486,926196,fazilka
punjab,2021,1,1779386402.710884,697801,sangrur
punjab,2021,1,1384031539.442925,585780,hoshiarpur
punjab,2021,1,1486337867.4528933,570864,pathankot
punjab,2019,2,6103196266.995374,2861806,ludhiana
punjab,2019,2,3186753121.6444726,1651321,sas nagar
punjab,2019,2,1344928164.5729108,606445,jalandhar
punjab,2019,2,1153431871.5571177,464671,amritsar
punjab,2019,2,1033453294.3993945,428732,patiala
punjab,2019,2,796164323.076735,314775,bathinda
punjab,2019,2,450106236.80552906,289692,kapurthala
punjab,2019,2,525049272.43425035,288602,sangrur
punjab,2019,2,576108452.4565028,244089,fazilka
punjab,2019,2,445515294.3077082,160293,pathankot
punjab,2019,4,9747197706.866158,3939299,ludhiana
punjab,2019,4,4949390532.2517605,2685032,sas nagar
punjab,2019,4,2169729877.261026,980520,jalandhar
punjab,2019,4,1950326012.564148,829302,amritsar
punjab,2019,4,1781269263.452226,799674,patiala
punjab,2019,4,741334179.2344623,667137,kapurthala
punjab,2019,4,1239636960.6158314,532029,bathinda
punjab,2019,4,870965377.808314,448960,sangrur
punjab,2019,4,946156853.0160115,425525,fazilka
punjab,2019,4,697314026.1980982,280434,pathankot
punjab,2019,3,7455507218.782127,3105207,ludhiana
punjab,2019,3,3949329973.001935,2133485,sas nagar
punjab,2019,3,1632069019.2274184,758891,jalandhar
punjab,2019,3,1486947290.2848449,675647,amritsar
punjab,2019,3,1363591162.6136816,648561,patiala
punjab,2019,3,565670361.9945633,494918,kapurthala
punjab,2019,3,972384572.4071745,416734,bathinda
punjab,2019,3,654399189.9915571,330365,sangrur
punjab,2019,3,672363454.3736749,314556,fazilka
punjab,2019,3,530602505.216503,217743,pathankot
punjab,2019,1,3406467299.5810013,1955827,ludhiana
punjab,2019,1,2129328199.7382362,1284091,sas nagar
punjab,2019,1,969367415.6462662,463733,jalandhar
punjab,2019,1,957447018.1314604,440799,patiala
punjab,2019,1,922712816.3038396,404192,amritsar
punjab,2019,1,472831751.34869516,366386,sangrur
punjab,2019,1,712296730.4083405,323075,bathinda
punjab,2019,1,537572832.3080034,273038,fazilka
punjab,2019,1,366249498.0736331,262162,kapurthala
punjab,2019,1,333307889.2385825,159087,hoshiarpur
punjab,2020,2,9202417232.515121,3918678,ludhiana
punjab,2020,2,3374122041.3441267,1839791,sas nagar
punjab,2020,2,2169814875.621091,1023443,jalandhar
punjab,2020,2,2109955827.7419932,968730,amritsar
punjab,2020,2,1936659811.767475,922228,patiala
punjab,2020,2,1418732928.7795854,627821,bathinda
punjab,2020,2,1345296833.0455809,593260,fazilka
punjab,2020,2,1065127674.2908587,497181,sangrur
punjab,2020,2,740901804.834342,430930,hoshiarpur
punjab,2020,2,828442435.8246017,394701,pathankot
punjab,2020,4,16002263104.77765,6433526,ludhiana
punjab,2020,4,6001552668.838071,3755533,sas nagar
punjab,2020,4,4214164098.316762,1634555,amritsar
punjab,2020,4,3741094568.09765,1580719,patiala
punjab,2020,4,3490141380.4519215,1514774,jalandhar
punjab,2020,4,2560230080.072486,1029813,bathinda
punjab,2020,4,2330645109.184926,898108,fazilka
punjab,2020,4,1815228277.1126363,709657,sangrur
punjab,2020,4,1556030355.8837295,613446,pathankot
punjab,2020,4,1343655246.8605404,584688,hoshiarpur
punjab,2020,3,13411978555.224405,5373096,ludhiana
punjab,2020,3,4322991690.252305,2481665,sas nagar
punjab,2020,3,2977010022.917255,1171180,amritsar
punjab,2020,3,2630961420.321203,1143419,jalandhar
punjab,2020,3,2639345147.604691,1133088,patiala
punjab,2020,3,1942683602.9336882,761837,bathinda
punjab,2020,3,1533956137.4019094,650223,fazilka
punjab,2020,3,1244533965.4714077,520244,sangrur
punjab,2020,3,1117386418.785541,447422,pathankot
punjab,2020,3,938565050.5404744,444703,hoshiarpur
punjab,2020,1,9811040748.858643,4234211,ludhiana
punjab,2020,1,4802064278.867107,2856044,sas nagar
punjab,2020,1,2475070637.207554,1138166,jalandhar
punjab,2020,1,2170491285.561859,960246,amritsar
punjab,2020,1,1884698406.1873357,886202,patiala
punjab,2020,1,736259091.7068343,733357,kapurthala
punjab,2020,1,1321796468.7923622,601259,bathinda
punjab,2020,1,1106991298.8320842,500308,fazilka
punjab,2020,1,899705429.0338153,464316,sangrur
punjab,2020,1,613999219.7583513,321185,hoshiarpur
punjab,2018,2,935892631.8609879,572930,ludhiana
punjab,2018,2,730035482.9606797,387752,sas nagar
punjab,2018,2,371254259.4379476,196259,patiala
punjab,2018,2,333928450.34592813,158547,jalandhar
punjab,2018,2,334246873.79937446,147287,amritsar
